Word,TF_Matrix_Avg,DF_Vector,IDF_Vector,TF_IDF_Manual
clips,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
efron,0.009195402298850575,7,5.689051669968793,0.052313118804310735
hudgens,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
naked,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
perfect,0.008045977011494253,7,5.689051669968793,0.045773978953771895
pussy,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
vanessa,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
zac,0.009195402298850575,7,5.689051669968793,0.052313118804310735
but,0.03218390804597701,28,4.401197381662156,0.14164773182360965
catholic,0.0034482758620689655,2,6.66988092298052,0.022999589389588
dude,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
even,0.011494252873563218,10,5.370597938850259,0.06173101079138229
everything,0.008045977011494253,7,5.689051669968793,0.045773978953771895
francis,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
him,0.01264367816091954,10,5.370597938850259,0.06790411187052052
hug,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
i,0.21149425287356322,146,2.778060624869893,0.5875438562943224
just,0.05747126436781609,47,3.8972922007407385,0.22398231038739866
m,0.03908045977011494,34,4.213145150159216,0.16465164954645217
need,0.017241379310344827,15,4.995904489408848,0.08613628430015256
not,0.067816091954023,57,3.70805020110221,0.2514654734080806
okay,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
pope,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
tell,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
al,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
america,0.006896551724137931,6,5.822583062593316,0.04015574525926425
as,0.06206896551724138,46,3.9183456099385707,0.24320765854791124
crying,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
do,0.017241379310344827,15,4.995904489408848,0.08613628430015256
for,0.20344827586206896,153,2.731540609235,0.5557272273960878
how,0.04942528735632184,42,4.007293095955067,0.19806161278858384
left,0.011494252873563218,10,5.370597938850259,0.06173101079138229
middle,0.005747126436781609,5,5.976733742420574,0.034349044496669964
much,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
out,0.034482758620689655,30,4.334506007163483,0.1494657243849477
power,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
they,0.05057471264367816,40,4.054921144944322,0.20507647169833357
twice,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
voting,0.006896551724137931,6,5.822583062593316,0.04015574525926425
class,0.006896551724137931,6,5.822583062593316,0.04015574525926425
comey,0.009195402298850575,7,5.689051669968793,0.052313118804310735
editorial,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
families,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
fbi,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
had,0.008045977011494253,7,5.689051669968793,0.045773978953771895
no,0.03218390804597701,26,4.4726563456443005,0.14394756054947166
one,0.028735632183908046,23,4.590439381300683,0.13190917762358287
s,0.20229885057471264,154,2.725068094729383,0.5512781433015782
sentinel,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
android,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
bring,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
edge,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
galaxy,0.006896551724137931,6,5.822583062593316,0.04015574525926425
news,0.013793103448275862,12,5.203543854187092,0.07177301867844264
note,0.006896551724137931,6,5.822583062593316,0.04015574525926425
nougat,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
samsung,0.004597701149425287,4,6.159055299214529,0.028317495628572546
softpedia,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
tab,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
bank,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
comatose,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
deems,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
gaza,0.004597701149425287,4,6.159055299214529,0.028317495628572546
in,0.19195402298850575,150,2.7512133748337053,0.5281064753991126
man,0.008045977011494253,7,5.689051669968793,0.045773978953771895
needs,0.005747126436781609,5,5.976733742420574,0.034349044496669964
security,0.017241379310344827,15,4.995904489408848,0.08613628430015256
threat,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
treatment,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
via,0.021839080459770115,19,4.772760938094638,0.10423271014229665
west,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
who,0.03218390804597701,26,4.4726563456443005,0.1439475605494717
aconite,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
homeopathy,0.008045977011494253,7,5.689051669968793,0.045773978953771895
line,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
presenting,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
red,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
slides,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
symptoms,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
two,0.004597701149425287,4,6.159055299214529,0.028317495628572546
brilliant,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
far,0.008045977011494253,7,5.689051669968793,0.045773978953771895
go,0.02413793103448276,21,4.6774507582903135,0.11290398382080072
good,0.026436781609195402,22,4.63299899571948,0.12248158264545748
it,0.1310344827586207,99,3.163323025660538,0.414504396465863
say,0.016091954022988506,12,5.203543854187092,0.08373518845818309
so,0.05172413793103448,43,3.984303577730368,0.20608466781363988
story,0.005747126436781609,3,6.382198850528739,0.03667930373867091
storytelling,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
westworld,0.010344827586206896,9,5.465908118654584,0.05654387708953017
will,0.0367816091954023,32,4.271985650182149,0.15713050667336634
within,0.0034482758620689655,2,6.66988092298052,0.022999589389588
alamn,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
almasarif,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
alqahira,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
areas,0.004597701149425287,4,6.159055299214529,0.028317495628572546
forces,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
iraq,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
iraqi,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
isis,0.008045977011494253,7,5.689051669968793,0.045773978953771895
mosul,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
mosuloffensive,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
mosulops,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
set,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
storm,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
alfred,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
analytics,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
business,0.005747126436781609,5,5.976733742420574,0.034349044496669964
d,0.02528735632183908,20,4.723970773925206,0.11945673221420057
deep,0.005747126436781609,5,5.976733742420574,0.034349044496669964
essa,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
leaders,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
learning,0.006896551724137931,6,5.822583062593316,0.04015574525926425
n,0.008045977011494253,7,5.689051669968793,0.045773978953771895
pachicago,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
primer,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
r,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
talks,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
vp,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
chick,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
fil,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
live,0.010344827586206896,9,5.465908118654584,0.05654387708953017
love,0.02528735632183908,20,4.723970773925206,0.11945673221420057
nationalfastfoodday,0.005747126436781609,5,5.976733742420574,0.034349044496669964
there,0.013793103448275862,12,5.203543854187092,0.07177301867844264
would,0.020689655172413793,18,4.8240542324821885,0.09980801860307975
blacklivesmatter,0.004597701149425287,4,6.159055299214529,0.028317495628572546
college,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
electoral,0.008045977011494253,7,5.689051669968793,0.045773978953771895
must,0.006896551724137931,5,5.976733742420574,0.04121885339600396
nevertrump,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
notmypresident,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
reject,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
rejecttrump,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
takingbackdemocracy,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
trump,0.08620689655172414,73,3.4644281184444594,0.2986575964176258
barackobama,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
blm,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
em,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
girls,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
git,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
mylifematters,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
pmd,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
skinnyup,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
thepeopleschamp,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
therealskinnysuge,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
doctor,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
joins,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
listen,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
nfl,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
on,0.135632183908046,108,3.0771453294194857,0.417359941231608
reputation,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
romo,0.010344827586206896,9,5.465908118654584,0.05654387708953017
themorningrush,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
tony,0.011494252873563218,10,5.370597938850259,0.06173101079138229
weighs,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
bankruptcuadrilla,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
cuadrilla,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
defenders,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
ecocide,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
fracking,0.006896551724137931,6,5.822583062593316,0.04015574525926425
land,0.005747126436781609,5,5.976733742420574,0.034349044496669964
legal,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
persecuting,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
stop,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
system,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
through,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
animal,0.011494252873563218,9,5.465908118654584,0.06282653009947796
bear,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
gifts,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
jointed,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
lauren,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
plush,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
polo,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
ralph,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
stuffed,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
sweater,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
teddybear,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
valentines,0.006896551724137931,6,5.822583062593316,0.04015574525926425
group,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
leadership,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
makeamericagreatagain,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
molding,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
proud,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
strong,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
teamtrump,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
trumptransitionteam,0.013793103448275862,12,5.203543854187092,0.07177301867844264
way,0.011494252873563218,10,5.370597938850259,0.06173101079138229
all,0.04942528735632184,41,4.030823593365261,0.19922461438471964
come,0.006896551724137931,6,5.822583062593316,0.04015574525926425
crisis,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
everyone,0.010344827586206896,9,5.465908118654584,0.05654387708953017
fossil,0.014942528735632184,12,5.203543854187092,0.07775410356831286
fuels,0.01264367816091954,11,5.283586561860629,0.0668039680235252
run,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
short,0.004597701149425287,4,6.159055299214529,0.028317495628572546
substitutes,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
termed,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
then,0.006896551724137931,6,5.822583062593316,0.04015574525926425
thinking,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
when,0.02528735632183908,22,4.63299899571948,0.11715629644348106
being,0.014942528735632184,13,5.129435882033371,0.07664674306486645
fight,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
from,0.05517241379310345,48,3.8766729135380027,0.21388540212623483
human,0.004597701149425287,4,6.159055299214529,0.028317495628572546
ones,0.005747126436781609,5,5.976733742420574,0.034349044496669964
or,0.03103448275862069,24,4.549617386780429,0.14119502234835807
raped,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
rapeugees,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
real,0.004597701149425287,4,6.159055299214529,0.028317495628572546
rights,0.006896551724137931,6,5.822583062593316,0.04015574525926425
suffer,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
trafficking,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
women,0.005747126436781609,5,5.976733742420574,0.034349044496669964
get,0.034482758620689655,28,4.401197381662156,0.15176542695386747
lucky,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
screamqueens,0.006896551724137931,6,5.822583062593316,0.04015574525926425
tk,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
work,0.011494252873563218,10,5.370597938850259,0.06173101079138229
casually,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
comfortable,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
deplorables,0.010344827586206896,9,5.465908118654584,0.05654387708953017
distasteful,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
pubicly,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
society,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
that,0.09770114942528736,80,3.3740440569761905,0.32964798257813377
today,0.01264367816091954,11,5.283586561860629,0.0668039680235252
why,0.017241379310344827,15,4.995904489408848,0.08613628430015256
candidate,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
cy,0.010344827586206896,9,5.465908118654584,0.05654387708953017
inevitably,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
nl,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
top,0.004597701149425287,4,6.159055299214529,0.028317495628572546
young,0.016091954022988506,14,5.060443010546419,0.08143241626166653
big,0.006896551724137931,6,5.822583062593316,0.04015574525926425
deal,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
microsoft,0.004597701149425287,4,6.159055299214529,0.028317495628572546
move,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
smart,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
this,0.09540229885057472,80,3.3740440569761905,0.32189155945864834
ben,0.008045977011494253,7,5.689051669968793,0.045773978953771895
can,0.054022988505747126,44,3.9618307218783095,0.21402993554974767
carson,0.005747126436781609,5,5.976733742420574,0.034349044496669964
development,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
housing,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
urban,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
ah,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
day,0.017241379310344827,14,5.060443010546419,0.08724901742321414
hard,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
honoured,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
mannequinchallenge,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
time,0.01839080459770115,16,4.935279867592413,0.09076376767986048
tradition,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
wrapping,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
black,0.013793103448275862,11,5.283586561860629,0.07287705602566386
digesting,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
eps,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
friday,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
thanksgiving,0.01839080459770115,16,4.935279867592413,0.09076376767986048
watching,0.014942528735632184,13,5.129435882033371,0.07664674306486645
while,0.010344827586206896,9,5.465908118654584,0.05654387708953017
african,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
bds,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
holy,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
migrants,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
new,0.021839080459770115,19,4.772760938094638,0.10423271014229665
persecution,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
racism,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
cause,0.004597701149425287,4,6.159055299214529,0.028317495628572546
euthanasia,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
lmaooo,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
ago,0.004597701149425287,4,6.159055299214529,0.028317495628572546
been,0.014942528735632184,13,5.129435882033371,0.07664674306486645
cohen,0.010344827586206896,9,5.465908118654584,0.05654387708953017
find,0.005747126436781609,5,5.976733742420574,0.034349044496669964
heart,0.005747126436781609,5,5.976733742420574,0.034349044496669964
leonard,0.010344827586206896,9,5.465908118654584,0.05654387708953017
listening,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
literally,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
month,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
nonstop,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
only,0.020689655172413793,18,4.8240542324821885,0.09980801860307975
overwhel,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
passed,0.004597701149425287,4,6.159055299214529,0.028317495628572546
past,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
ve,0.008045977011494253,7,5.689051669968793,0.045773978953771895
weeks,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
wow,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
didn,0.008045977011494253,7,5.689051669968793,0.045773978953771895
going,0.017241379310344827,14,5.060443010546419,0.08724901742321414
hacking,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
lots,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
needed,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
she,0.026436781609195402,16,4.935279867592413,0.13047291603979944
suppression,0.008045977011494253,7,5.689051669968793,0.045773978953771895
tampering,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
them,0.017241379310344827,14,5.060443010546419,0.08724901742321414
voter,0.017241379310344827,12,5.203543854187092,0.08971627334805331
were,0.013793103448275862,12,5.203543854187092,0.07177301867844264
bench,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
during,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
fcblive,0.006896551724137931,6,5.822583062593316,0.04015574525926425
game,0.005747126436781609,4,6.159055299214529,0.035396869535715685
pictures,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
players,0.004597701149425287,4,6.159055299214529,0.028317495628572546
interview,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
nbawards,0.01264367816091954,11,5.283586561860629,0.0668039680235252
winner,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
matter,0.004597701149425287,4,6.159055299214529,0.028317495628572546
pelosi,0.011494252873563218,10,5.370597938850259,0.06173101079138229
should,0.016091954022988506,14,5.060443010546419,0.08143241626166653
earth,0.006896551724137931,6,5.822583062593316,0.04015574525926425
google,0.004597701149425287,4,6.159055299214529,0.028317495628572546
headset,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
jeez,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
used,0.008045977011494253,7,5.689051669968793,0.045773978953771895
vr,0.010344827586206896,8,5.5712686343124105,0.057633813458404244
anne,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
arent,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
conway,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
counters,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
glorious,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
here,0.022988505747126436,19,4.772760938094638,0.10971864225504911
high,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
kelly,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
meters,0.0022988505747126436,1,7.075346031088684,0.016265163289859046
reporting,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
wall,0.008045977011494253,7,5.689051669968793,0.045773978953771895
doing,0.010344827586206896,9,5.465908118654584,0.05654387708953017
fucking,0.004597701149425287,4,6.159055299214529,0.028317495628572546
god,0.013793103448275862,11,5.283586561860629,0.07287705602566386
horrible,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
oh,0.011494252873563218,10,5.370597938850259,0.06173101079138229
speech,0.013793103448275862,11,5.283586561860629,0.07287705602566386
testing,0.008045977011494253,7,5.689051669968793,0.045773978953771895
am,0.010344827586206896,9,5.465908118654584,0.05654387708953017
back,0.013793103448275862,12,5.203543854187092,0.07177301867844264
be,0.06896551724137931,57,3.70805020110221,0.25572760007601414
hearing,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
her,0.016091954022988506,14,5.060443010546419,0.08143241626166653
hesitation,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
hrc,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
ma,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
voice,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
allen,0.013793103448275862,12,5.203543854187092,0.07177301867844264
ball,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
basketball,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
best,0.01264367816091954,11,5.283586561860629,0.0668039680235252
grayson,0.013793103448275862,12,5.203543854187092,0.07177301867844264
lonzo,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
avakov,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
coward,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
crimea,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
doesn,0.01264367816091954,11,5.283586561860629,0.0668039680235252
poroshenko,0.006896551724137931,6,5.822583062593316,0.04015574525926425
saakasjvili,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
travel,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
well,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
access,0.010344827586206896,9,5.465908118654584,0.05654387708953017
conflict,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
dakota,0.010344827586206896,9,5.465908118654584,0.05654387708953017
elect,0.004597701149425287,4,6.159055299214529,0.028317495628572546
has,0.03908045977011494,33,4.242132687032468,0.16578449581506194
interest,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
istandwithstandingrock,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
pipeline,0.011494252873563218,10,5.370597938850259,0.06173101079138229
country,0.009195402298850575,8,5.5712686343124105,0.05123005640747044
family,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
finally,0.006896551724137931,6,5.822583062593316,0.04015574525926425
happiness,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
miss,0.008045977011494253,7,5.689051669968793,0.045773978953771895
patience,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
thankyouobama,0.01839080459770115,16,4.935279867592413,0.09076376767986048
wisdom,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
your,0.040229885057471264,32,4.271985650182149,0.17186149167399448
an,0.029885057471264367,25,4.510396673627147,0.1347934638095469
apologize,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
asking,0.0034482758620689655,3,6.382198850528739,0.02200758224320255
insult,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
its,0.005747126436781609,5,5.976733742420574,0.034349044496669964
mitt,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
qualifier,0.0011494252873563218,1,7.075346031088684,0.008132581644929523
sos,0.0022988505747126436,2,6.66988092298052,0.015333059593058666
statement,0.004597701149425287,4,6.159055299214529,0.028317495628572546
